Sno,Category,Level,ContentType,Subject,Area,ContentName,VideoLinks
1,Teacher,Primary ,Video Cut,Maths,Operations,Addition with Dots || बिन्दुओं से जोड़ निकालें,https://youtu.be/2-hoqj0llVQ 
2,Teacher,Upper Primary,Video,English,Miscellaneous,Designing Effective Assessment,https://youtu.be/6oCyga6C0ns 
3,Teacher,Upper Primary,Video Cut,Maths,Geometry,Similar vs Congruent Triangles || सर्वांगसमता और समरूपता में क्या अंतर है?,https://youtu.be/6tNB3omRj8o 
4,Teacher,Primary ,Video Cut,Maths,Operations,Learning Division with Dots || बिन्दुओं से संख्याओं का भाग,https://youtu.be/WPsK8NSs7yU 
5,Teacher,Primary ,Video,Maths,Operations,बिन्दुओं से गणितीय संक्रियाएँ || Exploding Dots,https://youtu.be/gCJfuAtHe2o 
6,Teacher,Primary ,Video Cut,English,Writing,Teaching Paragraph Writing,https://youtu.be/-_SVFF1Ub1I 
7,Teacher,Upper Primary,Video,English,Grammar,Teaching Grammar through Stories,https://youtu.be/bOfNRSwj6Hs
8,Teacher,Upper Primary,Video Cut,Maths,Geometry,When and Why Corresponding angles are equal ? || संगत कोण बराबर - कब और क्यों ?,https://youtu.be/5WvAy0EEsZ4 
9,Teacher,Upper Primary,Video,Maths,Algebra,Introducing Algebraic Expressions,https://youtu.be/yAZETr6ff4g 
10,Teacher,Primary ,Video,English,Miscellaneous,FLN || Developing Literacy,https://youtu.be/q6488folL8Q
11,Teacher,Primary ,Video Cut,English,Reading,Reading Comprehension for Class 3 to 5,https://youtu.be/3Kgn-Vl1usQ
12,Teacher,Primary ,Video,Maths,Numbers,FLN : आधारभूत गणितीय कौशल || चित्रों से गणित,https://youtu.be/t0ZhqOpzlKA 
13,Teacher,Primary ,Video,Pedagogy and Tech Tools,,प्रज्ञान रिफ्रेशर कार्यशाला,https://youtu.be/XdjB5b8qV3k
14,Teacher,Upper Primary,Video Cut,Maths,Geometry,What is a Transversal? || तिर्यक रेखा क्या होती है?,https://youtu.be/INmUbdmK6n4 
15,Teacher,Primary ,Video Cut,English,Reading,Teaching Minimal Pair Words,https://youtu.be/64uH8oK2VmY
16,Teacher,Upper Primary,Video Cut,Maths ,Geometry,Do Parallel Lines Meet? || क्या समांतर रेखाएँ कभी मिलती हैं ?,https://youtu.be/gLOEUzHl_KA
17,Teacher,Primary ,Video,Hindi,,FLN || बुनियादी साक्षरता,https://youtu.be/0Zt4v7zbAnA
18,Teacher,Primary ,Video cut,English,Reading,Long Vowel Sound,https://youtu.be/qHVvAPdC8Nc
19,Teacher,Upper Primary,Video Cut,Maths ,Geometry,"""घन और आयतन"" बच्चों के साथ || Easy way to learn Cubes and Volume",https://youtu.be/KVH8VpAVEiE
20,Teacher,Primary ,Video Cut,English,Reading,Teaching English Letters Part 2,https://youtu.be/4lO3nHgD75E
21,Teacher,Upper Primary,Video,Maths ,Geometry,"Triangles and their Congruence
",https://youtu.be/8RYh8_gM1jQ
22,Teacher,Upper Primary,Video,English,Miscellaneous,Competencies through Stories || Online Workshop-2 on English Language Teaching,https://youtu.be/069iZz8NO3k
23,Teacher,Primary ,Video Cut,English,Miscellaneous,Introducing English Letters and Sounds Part 1,https://youtu.be/e4XeEvGzCvM
24,Teacher,Upper Primary,Video Cut,Maths ,Numbers,दशमलव संख्याओं कैसे पढ़ें और लिखें? || How to read and write Decimal numbers?,https://youtu.be/hM1nR_4Pbxo
25,Teacher,Primary ,Video Cut,English,Listening & Speaking,Teaching English in Class 1 || Using Rhymes and Stories,https://youtu.be/7Zv6h127G5w
26,Teacher,Primary ,Video,General Topics,,बच्चे भूल क्यूँ जाते हैं ?,https://youtu.be/VQxDdcMFvlM
27,Teacher,Upper Primary,Video,Maths,Geometry,Lines and Angels || Working with Alternate and Corresponding Angles,https://youtu.be/b102n-YrWT8
28,Teacher,Primary ,Video Cut,English,Miscellaneous,Let's learn Vowel Sounds || 5 Letters and 20 Vowel Sounds,https://youtu.be/HfIvSsxRDak
29,Teacher,Primary ,Video,English,Miscellaneous,NAS in English?,https://youtu.be/fUhuFK_b_-Y
30,Teacher,Upper Primary,Video Cut,Maths ,Numbers,Multiplication in Decimal Numbers || दशमलव संख्याओं में गुणा,https://youtu.be/1JOl4_mrDYw
31,Teacher,Primary ,Video,Maths ,Numbers,भिन्न की भूलभुलैया,https://youtu.be/4UtRYrVkfPE
32,Teacher,Upper Primary,Video,English,Reading,Teaching Stories and Poems,https://youtu.be/fGqJVXVKmsc
33,Teacher,Primary ,Video,English,Grammar,Teaching Verb || Introduction - Activities - Assessment,https://youtu.be/zEKdSdIXLHk
34,Teacher,Primary ,Video,Maths ,Numbers,सपाट पासा || Sapat Pasa,https://youtu.be/7RTI0OyftHU
35,Teacher,Primary ,Video Cut,English,Miscellaneous,Let's learn Consonant Sounds,https://youtu.be/O4JPj-a7tJw
36,Teacher,Primary ,Video,Hindi,,राष्ट्रीय उपलब्धि सर्वेक्षण 2021 : हिंदी भाषा शिक्षण,https://youtu.be/sv0O62Oc0FI
37,Teacher,Primary ,Video,Maths,Miscellaneous,राष्ट्रीय उपलब्धि सर्वेक्षण 2021 : गणित शिक्षण,https://youtu.be/ef1NIqBkdQw
38,Teacher,Upper Primary,Video Cut,Maths,Numbers,Working with Decimal Numbers || दशमलव संख्याओं से दोस्ती,https://youtu.be/sPp183iWvW8
39,Teacher,Primary ,Video,English,Reading,A Picnic Story,https://youtu.be/GbR4XVNBGFA
40,Teacher,Primary ,Video,Math,Numbers,मिश्रित भिन्न || Mixed Fraction,https://youtu.be/vpeY1fdM_s4
41,Teacher,Primary ,Video,Hindi,,बच्चों के अनुभव और भाषा शिक्षण,https://youtu.be/2c-5_7Iicvo
42,Teacher,Primary ,Video Cut,English,Miscellaneous,Letter and Sound relationship in English Language,https://youtu.be/jIJperRRlPY
